,player,match,minute,type
0,Alexis Mac Allister,Poland-Argentina,46,G
1,Nahuel Molina,Poland-Argentina,46,A
2,Julian Alvarez,Poland-Argentina,67,G
3,Enzo Fernandez,Poland-Argentina,67,A
4,Marcos Acuna,Poland-Argentina,49,Y
5,Grzegorz Krychowiak,Poland-Argentina,78,Y
6,Henry Martin,Saudi Arabia-Mexico,47,G
7,Cesar Montes,Saudi Arabia-Mexico,47,A
8,Luis Chavez,Saudi Arabia-Mexico,52,G
9,Salem Al-Dawsari,Saudi Arabia-Mexico,95,G
10,Hattan Bahebri,Saudi Arabia-Mexico,95,A
11,Edson Alvarez,Saudi Arabia-Mexico,16,Y
12,Saleh Al-Shehri,Saudi Arabia-Mexico,28,Y
13,Ali Al-Hassan,Saudi Arabia-Mexico,34,Y
14,Hassan Tambakti,Saudi Arabia-Mexico,52,Y
15,Abdullah Madu,Saudi Arabia-Mexico,81,Y
16,Abdulelah Al-Amri,Saudi Arabia-Mexico,91,Y
17,Hattan Bahebri,Saudi Arabia-Mexico,97,Y
18,Lionel Messi,Argentina-Mexico,64,G
19,Angel Di Maria,Argentina-Mexico,64,A
20,Enzo Fernandez,Argentina-Mexico,87,G
21,Lionel Messi,Argentina-Mexico,87,A
22,Nestor Araujo,Argentina-Mexico,22,Y
23,Gonzalo Montiel,Argentina-Mexico,43,Y
24,Erick Gutierrez,Argentina-Mexico,50,Y
25,Hector Herrera,Argentina-Mexico,66,Y
26,Roberto Alvarado,Argentina-Mexico,89,Y
27,Piotr Zielinski,Poland-Saudi Arabia,39,G
28,Robert Lewandowski,Poland-Saudi Arabia,39,A
29,Robert Lewandowski,Poland-Saudi Arabia,82,G
30,Jakub Kiwior,Poland-Saudi Arabia,15,Y
31,Matty Cash,Poland-Saudi Arabia,16,Y
32,Arkadiusz Milik,Poland-Saudi Arabia,19,Y
33,Abdulelah Al-Malki,Poland-Saudi Arabia,21,Y
34,Abdulelah Al-Amri,Poland-Saudi Arabia,45,Y
35,Jorge Sanchez,Mexico-Poland,29,Y
36,Hector Moreno,Mexico-Poland,56,Y
37,Przemyslaw Frankowski,Mexico-Poland,76,Y
38,Lionel Messi,Argentina-Saudi Arabia,10,G
39,Leandro Paredes,Argentina-Saudi Arabia,10,A
40,Saleh Al-Shehri,Argentina-Saudi Arabia,48,G
41,Firas Al-Buraikan,Argentina-Saudi Arabia,48,A
42,Salem Al-Dawsari,Argentina-Saudi Arabia,53,G
43,Abdulelah Al-Malki,Argentina-Saudi Arabia,67,Y
44,Ali Al-Boleahi,Argentina-Saudi Arabia,75,Y
45,Salem Al-Dawsari,Argentina-Saudi Arabia,79,Y
46,Saud Abdulhamid,Argentina-Saudi Arabia,82,Y
47,Nawaf Al-Abed,Argentina-Saudi Arabia,88,Y
48,Mohammed Al-Owais,Argentina-Saudi Arabia,90,Y
49,Ilkay Gundogan,Germany-Japan,33,G
50,David Raum,Germany-Japan,33,A
51,Ritsu Doan,Germany-Japan,75,G
52,Takuma Asano,Germany-Japan,83,G
53,Ko Itakura,Germany-Japan,83,A
54,Dani Olmo,Spain-Costa Rica,11,G
55,Marco Asensio,Spain-Costa Rica,21,G
56,Jordi Alba,Spain-Costa Rica,21,A
57,Ferran Torres,Spain-Costa Rica,31,G
58,Jordi Alba,Spain-Costa Rica,31,A
59,Ferran Torres,Spain-Costa Rica,54,G
60,Gavi,Spain-Costa Rica,74,G
61,Alvaro Morata,Spain-Costa Rica,74,A
62,Carlos Soler,Spain-Costa Rica,90,G
63,Alvaro Morata,Spain-Costa Rica,92,G
64,Dani Olmo,Spain-Costa Rica,92,A
65,Francisco Calvo,Spain-Costa Rica,68,Y
66,Joel Campbell,Spain-Costa Rica,97,Y
67,Keysher Fuller,Japan-Costa Rica,81,G
68,Yeltsin Tejeda,Japan-Costa Rica,81,A
69,Anthony Contreras,Japan-Costa Rica,41,Y
70,Miki Yamane,Japan-Costa Rica,44,Y
71,Celso Borges,Japan-Costa Rica,61,Y
72,Francisco Calvo,Japan-Costa Rica,70,Y
73,Ko Itakura,Japan-Costa Rica,84,Y
74,Wataru Endo,Japan-Costa Rica,93,Y
75,Alvaro Morata,Spain-Germany,62,G
76,Jordi Alba,Spain-Germany,62,A
77,Niclas Fullkrug,Spain-Germany,83,G
78,Jamal Musiala,Spain-Germany,83,A
79,Thilo Kehrer,Spain-Germany,37,Y
